"id","lang","official","title","latin"
v30998,en,true,My Slow Life with the Princess Knight and Her Devoted Handmaiden,
v30998,ja,true,奴隷姫騎士と奴隷侍女とのスローライフ,Dorei Himekishi to Dorei Jijo to no Slow Life
v30998,zh-Hans,true,我与公主骑士及侍女的慢活生活,Wo Yu Gongzhu Qishi Ji Shinu De Man Huo Shenghuo
v30998,zh-Hant,true,我與公主騎士及侍女的慢活生活,Wo Yu Gongzhu Qishi Ji Shinu De Man Huo Shenghuo
v30999,en,true,CORPSE FACTORY,
v31000,ja,true,クラウンピースを俺色に染め上げる!?,Clownpiece o Ore-iro ni Someageru!?
v31001,ja,true,幽世ノ災厄ト現世ノ戦姫～きりえ篇～,Kakuriyo no Saiyaku to Utsushiyo no Ikusabime ~Kirie Hen~
v31002,en,true,My Klutzy Cupid,
v31002,ja,true,俺の恋天使がポンコツすぎてコワ～い。,Ore no Cupid ga Ponkotsu Sugite Kowa~i.
v31002,zh-Hans,false,我的恋天使太废柴了好可怕。,Wo de Liantianshi Tai Feichai Le Hao Kepa.
v31003,ja,true,妹と彼女 それぞれの選択,Imouto to Kanojo - Sorezore no Sentaku
v31004,en,true,Serenity at Dusk,
v31005,ja,true,女体化ヒーロー取り締まり！オレ様は「私」になんかならないし。 ～悪の組織が恥辱全開レッスン～,"Nyotai-ka Hero no Torishimari! Ore-sama wa ""Watashi"" ni Nanka Naranai shi. ~Aku no Soshiki ga Chijoku Zenkai Lesson~"
v31006,en,true,Forsaken Quartet,
v31006,ja,true,Immoral Quartet ～4人の性欲が絡み合う、愛と寝取られの物語～,"Immoral Quartet ~4-nin no Seiyoku ga Karamiau, Ai to Netorare no Monogatari~"
v31006,zh-Hans,true,背德的四重奏,Beide de Sichongzou
v31007,en,true,SuccuSeka: Resist Succubus Temptation,
v31007,ja,true,サキュせか ～誘惑に負けないで:サキュバスに管理された世界で～,SuccuSeka ~Yuuwaku ni Makenaide: Succubus ni Kanri Sareta Sekai de~
v31007,zh-Hans,false,魅魔世界,Meimo Shijie
v31008,ja,true,友達が少ない貧乳娘を孕ませてみた,Tomodachi ga Sukunai Hinnyuu Musume o Haramasete Mita
v31010,en,true,Outerspace Cafe,
v31011,en,true,Tethered,
v31012,en,true,Good Lookin' Home Cookin',
v31013,en,true,Call Me Cera,
v31014,en,true,Darkest Timeline,
v31015,en,true,CalHearts: My Heart Skips a Frame,
v31016,en,true,Cyber Rift,
v31017,ja,true,妹のろい,Imouto Noroi
v31018,ja,true,一夜陵辱,Ichiya Ryoujoku
v31019,zh-Hans,true,铁道少女：梦想轨迹,Tiedao Shaonü: Mengxiang Guiji
v31020,en,true,Annulus Break,
v31021,en,true,Dream Team,
v31022,id,true,W.A.T.C.H. ~Truth Beyond Time~,
v31023,pt-br,true,Arkyos Angel 2,
v31024,pt-br,true,Arkyos Angel - Especial,
v31025,ja,true,クラウンステージ,Clown Stage
v31026,en,true,War of Roses,
v31027,en,true,Confession Center,
v31028,ja,true,はじめては おにいちゃん,Hajimete wa Onii-chan
v31029,ja,true,チカのなつしゅく!～チンコで解こうエロドリル～,Chika no Natsu Shuku! ~Chinko de Hodokou Ero Drill~
v31030,ja,true,Kanyan,
v31031,ja,true,喰人記,Shokujin Ki
v31032,ja,true,ツンDraCsuicide ～吸精主はミニマム美少女吸血鬼!?～,Tsun DraCsuicide ~Kyuuseishu wa Minimum Bishoujo Kyuuketsuki!?~
v31033,en,true,Kaiju Crush,
v35106,en,true,Those Days,
v35107,en,true,ODYSSEY,
v31035,ja,true,虜ノ姉妹 ～淫らに弄ばれる運命の迷い子～,Toriko no Shimai ~Midara ni Moteasobareru Unmei no Mayoigo~
v31036,en,true,I Am The Prosecutor: No Evidence? No Problem!,
v31037,ja,true,屈辱3,Kutsujoku 3
v31038,ja,true,終わらない悪夢～寝取られループ～,Owaranai Akumu ~Netorare Loop~
v31039,en,true,Shibari Mushi,
v31039,fr,true,Shibari Mushi,
v31039,ja,true,縛り虫,Shibari Mushi
v31039,la,true,Shibari Mushi,
v31040,ja,true,ガチンコ！ビッチクラブ センセーション,Gachinko! Bitch Club - Sensation
v31041,fr,true,The chaotic romance of Seija,
v31041,ja,true,鬼と金十,Oni to Kinjuu
v31042,ja,true,みがわり彼女 ～私、親友を守るためにビッチなギャルになりますっ！～,"Migawari Kanojo ~Watashi, Shin'yuu o Mamoru Tame ni Bitch na Gyaru ni Narimasu!~"
v31043,en,true,Sex and Morning,
v31043,ja,true,朝とSEXと加奈伯母さん,Asa to Sex to Kana-oba-san
v31043,vi,false,Asa to Sex to Kana-oba-san,
v31044,en,true,My Horny Ex-Classmate Trophy Wife's Sexual Reckoning,
v31044,ja,true,俺を見下すセレブ妻のドM願望 新感覚アニメーションノベル妻缶２,Ore o Mikudasu Celeb Tsuma no Do M Ganbou Shinkankaku Animation Novel Tsuma Kan 2
v31044,zh-Hant,true,看不起我的贵妇人妻有个抖M愿望 ～新感觉动画小说妻罐2～,Kanbuqi Wo de Gui Fu Renqi You Ge Dou M Yuanwang ~Xin Ganjue Donghua Xiaoshuo Qi Guan 2~
v31045,ja,true,ゲーム（＝エロゲー）みたいな、ステキな恋がしたいっ！,"Game (=Eroge) Mitai na, Suteki na Koi ga Shitai!"
v31046,en,true,Inside Jennifer,
v31047,en,true,Girlfriend Tapes,
v31048,en,true,Free Pass,
v31049,en,true,Splinted Wings,
v31050,en,true,Yandere Love: Chains of Fate,
v31051,en,true,The Lost Chapters,
v31052,en,true,Catch the Bunny,
v31053,en,true,Wizard School Woes,
v31054,en,true,Dangerous! TOO SWEET!!,
v31054,ru,true,Dangerous! TOO SWEET!!,
v31055,en,true,HENPRI: HENTAI PRISON,
v31055,ja,true,ヘンタイ・プリズン,Hentai Prison
v31055,zh-Hans,true,变态监狱,Biantaijianyu
v31056,en,true,Axiom Alternative II,
v31057,en,true,Stories of Submission: eNTeR the cuck,
v31058,ja,true,天使の絵の向こう側,Tenshi no E no Mukougawa
v31059,ja,true,ネカフェ姦禁 ～もう部屋からは抜け出せない～,Necafe Kankin ~Mou Heya Kara wa Nukedasenai~
v31060,pt-br,true,Colorful未来,Colorful Mirai
v31061,ja,true,牧歌的な雨上がりの世界で,Bokkateki na Ameagari no Sekai de
v31062,en,true,Eternia: Pet Whisperer,
v31063,es,true,Out of A-Line,
v31064,en,true,Mean Girls: Senior Year,
v31065,ja,true,Secret Agent ミニゲーム３本パック,Secret Agent - Mini Game 3-bon Pack
v31066,en,true,College Craze,
v31068,zh-Hans,true,真实游戏 - True game,Zhenshi Youxi - True game
v31069,ja,true,ハァ？テメェの童貞×××で寝取られるわけねーし！～褐色爆乳ギャルは兄貴のオンナ～,Haa? Temee no Doutei xxx de Netorareru Wakeneshi! ~Kasshoku Bakunyuu Gyaru wa Aniki no Onna~
v31070,en,true,Voronica Cleans House: a Vore Adventure,
v31071,ja,true,いつか勝利の雄叫びを,Itsuka Shouri no Otakebi o
v31072,pt-br,true,Heartbeat ~ Painting your heart,
v31073,ja,true,ドリーミンハロウィーン,Dreamin'Halloween
v31074,pt-br,true,Lillyann ~ One Day I Woke Up at the Normal World.,
v31075,en,true,The Epic of Inanna,
v31076,ja,true,八剱伝,Hakkenden
v31077,en,true,Loli Lovin' ~Making Out with my Younger Girlfriend~,
v31077,ja,true,いちゃロリっ!～年下の彼女といちゃいちゃする日常～,Ichaloli! ~Toshishita no Kanojo to Ichaicha suru Nichijou~
v31078,en,false,STEINS;GATE×Sanrio Characters: Chance Encounter of the Goldig Party,
v31078,ja,true,STEINS;GATE×サンリオキャラクターズ ｢邂逅相遇のゴルディッヒパーティ」,"Steins;Gate x Sanrio Characters ""Kaikou Souguu no Goldig Party"""
v31081,en,true,Hero's Spirit,
v31082,en,true,Mimosa,
v31083,en,true,World's End Club,
v31083,ja,true,ワールズエンドクラブ,World's End Club
v31084,en,true,Anna: The Series Test,
v31085,ja,true,ちみキャラさいこぱす,Chimi Chara Psycho-Pass
v31086,ja,true,女の子にフラれた傷を幼なじみの純情ギャルビッチ男の娘のおちんちんで癒やしてもらう,Onna no Ko ni Furareta Kizu o Osananajimi no Junjou Gyaru Bitch Otoko no Ko no Ochinchin de Iyashite Morau
v31087,ja,true,堕天,Daten
v31088,ja,true,巫女姫淫魔伝 異種触手・生贄苗床,Miko Hime Inma Den - Ishu Shokushu * Ikenie Naedoko
v31089,en,true,Netghost,
v31090,en,true,Fantasy Tavern Sextet -Vol.2 Adventurer's Days-,
v31090,ja,true,異世界酒場のセクステット ～Vol.2 Adventurer's Days～,Isekai Sakaba no Sextet ~Vol.2 Adventurer's Days~
v31090,zh-Hans,true,异世界酒馆六重奏 〜Vol.2 Adventurer's Days～,Yi Shijie Jiuguan Liu Chongzou ~Vol.2 Adventurer's Days~
v31090,zh-Hant,true,異世界酒場六重奏 〜Vol.2 Adventurer's Days～,Yi Shijie Jiuchang Liu Chongzou ~Vol.2 Adventurer's Days~
v31091,en,true,Fantasy Tavern Sextet -Vol.3 Postlude days-,
v31091,ja,true,異世界酒場のセクステット ～Vol.3 Postlude Days～,Isekai Sakaba no Sextet ~Vol.3 Postlude Days~
v31091,zh-Hans,true,异世界酒馆六重奏 〜Vol.3 Postlude Days〜,Yi Shijie Jiuguan Liu Chongzou ~Vol.3 Postlude Days~
v31091,zh-Hant,true,異世界酒場六重奏 〜Vol.3 Postlude Days〜,Yi Shijie Jiuchang Liu Chongzou ~Vol.3 Postlude Days~
v31093,ja,true,お兄ちゃんとHしたいよっ,Onii-chan to H Shitai yo!
v31094,ja,true,強制オナニー,Kyousei Onani
v31095,en,true,Livestream: Escape from Hotel Izanami,
v31095,ja,true,廃深,Haishin
v31095,ko,true,폐심: 심야방송,Pyesim: Simyabangsong
v31095,zh-Hans,true,探灵直播,Tan Ling Zhibo
v31095,zh-Hant,true,探靈直播,Tan Ling Zhibo
v31096,en,true,Enslaver - The Beginning,
v31097,en,true,Enslaver - Dark Path,
v31098,en,true,Corruption Time,
v31099,en,true,Pandora's Box 2,
v31100,en,true,Wolf's Wool,
v31101,ja,true,マギアウィッチイオリ~awakening~,Magia Witch Iori ~awakening~
v31102,en,true,Detective Rosie Morgan: Murder on the River Thames,
v31103,en,true,Tails & Titties Hot Spring,
v31103,ja,true,けもみみ娘たちが癒してくれる子作り温泉宿,Kemomimi Musume-tachi ga Iyashite Kureru Kozukuri Onsen'yado
v31103,zh-Hans,true,兽娘萌娘温泉旅馆,Shou Niang Meng Niang Wenquan Luguan
v31103,zh-Hant,true,獸娘萌娘溫泉旅館,Shou Niang Meng Niang Wenquan Luguan
v31104,ja,true,名探偵コナン 最高の相棒,Meitantei Conan Saikou no Partner
v31105,ja,true,星のまほろば,Hoshi no Mahoroba
v31106,ja,true,腐女子じゃないもん!,Fujoshi ja nai Mon!
v31107,ja,true,仮想国のリブラ,Kasoukoku no Libra
v31108,en,true,Incel Syndrome,
v31109,en,true,Dream Kitchen,
v31109,pt-br,true,Dream Kitchen,
v31110,en,true,Glam Pursuit,
v31111,en,true,As Long As It's Not Illegal,
v31112,en,true,Viv the Game,
v31113,en,true,Ah-Hoy!,
v31114,en,true,The Castaway Story,
v31115,ja,true,魔女狩りの失禁学園 ～緊縛された令嬢の聖水～,Majo-gari no Shikkin Gakuen ~Kinbaku Sareta Reijou no Seisui~
v31117,ja,true,田舎でかてきょ,Inaka de Katekyo
v31118,ja,true,茜街奇譚,Akanemachi Kitan
v31119,ja,true,ココロエモーション,Kokoro Emotion
v31120,ja,true,○学生と結婚したら・・信じられないくらい人生が楽しい!!,****gakusei to Kekkon Shitara.. Shinjirarenai Kurai Jinsei ga Tanoshii!!
v31121,ja,true,寝てる黒髪色白低身長爆乳はんなり幼馴染のKカップおっぱいを犯す話,Neteru Kurokami Irojiro Teishinchou Bakunyuu Hannari Osananajimi no K Cup Oppai o Okasu Hanashi
v31122,en,true,Guardians of the Zodiac,
v31123,ja,true,姫騎士ド下品敗北人生～淫辱のブザマ奴隷～,Himekishi Do Gehin Haiboku Jinsei ~Injoku no Buzama Dorei~
v31124,en,true,"Save Me, Sakuya-san!",
v31125,ja,true,思い出抱えてアイにコイ!!,Omoide Kakaete Ai ni Koi!!
v31125,zh-Hans,false,怀揣思念同我再会!!,Huaichuai Sinian tong Wo Zaihui!!
v31126,en,true,The Life and Suffering of Sir Brante,
v31126,ru,true,Жизнь и страдания господина Бранте,Zhizn' i stradanija gospodina Brante
v31127,en,true,Giant Guardians,
v31128,en,true,Birb Café,
v31129,en,true,Together Again,
v31129,vi,false,Together Again,
v31130,ja,true,マッチングアプリで出会い厨してみた,Matching Appli de Deaichuu Shitemita
v31131,en,true,After School Murder Club!!,
v31133,ru,true,С любовью из царства ночи,S ljubov'ju iz carstva nochi
v31134,ja,true,月不見月の彼女,Tsukimizuzuki no Kanojo
