"id","vid","relation","official"
v51,v670,ser,true
v51,v5698,char,false
v51,v6072,fan,true
v51,v14621,side,false
v51,v20973,side,false
v51,v20974,side,false
v51,v23001,side,false
v51,v27863,char,false
v51,v28771,alt,false
v51,v38039,char,false
v51,v50017,char,false
v51,v51542,set,false
v57,v84,fan,true
v57,v3095,set,true
v57,v20273,char,true
v60,v49837,ser,true
v60,v49839,ser,true
v67,v68,seq,true
v67,v951,char,false
v67,v2084,char,false
v67,v3895,set,false
v67,v12010,char,false
v67,v14600,alt,false
v67,v15618,side,false
v67,v15849,char,false
v67,v15850,char,false
v67,v23649,char,false
v67,v30824,alt,false
v67,v31157,side,true
v67,v32082,side,true
v67,v33274,set,false
v67,v36039,side,false
v67,v37253,char,false
v67,v47586,set,false
v67,v48120,char,false
v67,v53446,side,false
v67,v58807,side,false
v67,v60545,ser,false
v68,v24,ser,true
v68,v67,preq,true
v68,v69,fan,true
v68,v12703,char,false
v68,v15523,fan,true
v68,v21482,seq,false
v68,v26390,fan,true
v68,v31157,side,true
v68,v42278,side,true
v69,v68,orig,true
v70,v10,seq,true
v70,v1542,seq,true
v70,v18736,side,true
v70,v18739,ser,true
v71,v514,char,false
v71,v5072,fan,true
v71,v6463,char,true
v73,v14,alt,true
v73,v7751,alt,true
v74,v26,seq,true
v74,v76,fan,true
v74,v77,seq,true
v74,v18176,alt,true
v74,v27047,fan,true
v74,v55506,char,false
v75,v12951,fan,true
v76,v74,orig,true
v77,v74,preq,true
v77,v3847,fan,true
v77,v55506,char,false
v78,v276,char,true
v78,v407,side,true
v78,v4848,char,true
v78,v9836,char,true
v78,v14039,fan,true
v79,v764,set,true
v80,v458,char,true
v80,v56226,side,true
v82,v572,char,true
v82,v577,char,true
v84,v57,orig,true
v85,v2796,alt,true
v86,v4265,fan,true
v87,v8158,set,true
v87,v28893,fan,true
v88,v1025,side,true
v88,v4189,fan,true
v88,v12562,set,true
v88,v20275,side,true
v88,v24372,side,true
v89,v3232,fan,true
v90,v20,par,true
v91,v744,char,true
v92,v93,preq,true
v92,v405,fan,true
v92,v1362,fan,true
v92,v1743,set,true
v92,v5895,fan,true
v92,v7052,set,true
v92,v14910,set,true
v92,v26768,seq,true
v92,v32753,side,true
v92,v32754,side,true
v92,v32785,side,true
v92,v32787,side,true
v92,v32788,side,true
v92,v32789,side,true
v92,v32791,side,true
v92,v32794,fan,true
v92,v32795,side,true
v92,v42209,set,false
v93,v92,seq,true
v93,v94,set,true
v93,v404,fan,true
v93,v443,char,true
v93,v4463,seq,true
v93,v6913,char,true
v93,v21343,fan,true
v93,v21816,set,true
v93,v32467,char,false
v94,v93,set,true
v94,v161,side,true
v94,v358,fan,true
v94,v443,char,true
v94,v1362,char,true
v94,v6913,char,true
v94,v18592,fan,true
v94,v21343,fan,true
v94,v28307,side,true
v94,v32759,set,true
v94,v39292,char,true
v97,v22591,alt,false
v97,v23649,char,false
v97,v61098,set,false
v98,v710,ser,true
v99,v276,char,true
v99,v319,char,true
v99,v320,side,true
v99,v331,char,true
v99,v406,char,true
v99,v408,side,true
v99,v4848,char,true
v99,v5282,char,true
v99,v7228,seq,true
v100,v5193,char,true
v104,v216,seq,true
v104,v10403,char,false
v104,v18530,char,false
v104,v50807,set,false
v104,v56115,char,false
v105,v1099,alt,true
v106,v643,char,true
