"vid","votecount","votecount_rank"
v1829,846,372
v25197,843,373
v16717,843,373
v154,842,375
v14062,842,375
v20032,840,377
v87,839,378
v43,838,379
v18831,837,380
v28205,834,381
v9205,834,381
v22783,834,381
v130,827,384
v8527,819,385
v405,819,385
v45,815,387
v22775,814,388
v23742,812,389
v21523,811,390
v23281,810,391
v31807,810,391
v21782,806,393
v21903,805,394
v11033,805,394
v54897,804,396
v18685,804,396
v105,804,396
v7833,799,399
v309,792,400
v20418,791,401
v20194,791,401
v22,788,403
v22594,787,404
v136,786,405
v15771,783,406
v22603,782,407
v432,780,408
v19192,780,408
v3319,776,410
v2959,775,411
v10979,775,411
v18719,766,413
v22313,763,414
v870,760,415
v38430,759,416
v12167,756,417
v236,755,418
v700,755,418
v157,753,420
v926,751,421
v18152,751,421
v21458,751,421
v23067,749,424
v6357,748,425
v117,747,426
v6346,746,427
v20488,745,428
v2043,745,428
v31002,743,430
v14973,742,431
v13948,741,432
v26837,739,433
v2021,738,434
v284,737,435
v4111,736,436
v17516,735,437
v14365,735,437
v11071,735,437
v116,734,440
v20602,731,441
v16032,730,442
v599,729,443
v4880,727,444
v6688,724,445
v15940,718,446
v669,718,446
v16341,718,446
v1560,715,449
v2044,714,450
v20027,713,451
v10326,713,451
v6572,712,453
v15077,711,454
v21281,710,455
v30294,710,455
v12369,709,457
v29383,709,457
v30118,708,459
v29300,706,460
v53,703,461
v2511,702,462
v17101,701,463
v4041,701,463
v9047,697,465
v24241,697,465
v16150,696,467
v15064,695,468
v8928,692,469
v979,690,470
v19182,689,471
v21676,688,472
v1,685,473
v11179,683,474
v13871,682,475
v1281,681,476
v18644,681,476
v18690,681,476
v44358,680,479
v575,678,480
v470,678,480
v18791,678,480
v16535,675,483
v28286,675,483
v8322,672,485
v2748,668,486
v20148,668,486
v1435,667,488
v15892,667,488
v21976,667,488
v25912,665,491
v133,664,492
v12260,662,493
v1467,662,493
v37651,656,495
v710,655,496
v26581,654,497
v4060,654,497
v10792,653,499
v16695,653,499
v5549,651,501
v3031,651,501
v17008,650,503
v167,648,504
v43438,648,504
v4137,648,504
v118,647,507
v153,646,508
v26391,645,509
v101,645,509
v25288,642,511
v5299,642,511
v1179,642,511
v32811,641,514
v4463,641,514
v5691,640,516
v2133,639,517
v13661,637,518
v49859,637,518
v28634,636,520
v21766,636,520
v12794,636,520
v15602,635,523
v8020,634,524
v21178,633,525
v15523,632,526
v21957,631,527
v19644,631,527
v25690,631,527
v8701,630,530
v15,630,530
v573,629,532
v31994,629,532
v138,627,534
v3413,626,535
v3271,625,536
v12396,625,536
v25774,625,536
v6758,624,539
v21499,624,539
v25413,623,541
v16858,618,542
v27449,617,543
v25964,617,543
v3246,616,545
v232,614,546
v18162,613,547
v13083,612,548
v27236,612,548
v9409,612,548
v26,609,551
v1322,608,552
v17825,606,553
v15708,605,554
v15871,602,555
v31136,601,556
v12475,598,557
v26307,598,557
v201,598,557
v19516,598,557
v25039,596,561
v31929,596,561
v988,595,563
v9846,595,563
v19841,595,563
v134,593,566
v19322,593,566
v860,592,568
v481,592,568
v16263,590,570
v26530,590,570
v16156,589,572
v895,589,572
v128,589,572
v19125,588,575
v19513,588,575
v29482,587,577
v5244,585,578
v10569,584,579
v18486,584,579
v29661,582,581
v30,576,582
v8489,575,583
v99,574,584
v4107,574,584
v3706,574,584
v19545,574,584
v22790,573,588
v16320,572,589
v17694,571,590
v25170,568,591
v2191,567,592
v15167,567,592
v10028,566,594
v20763,565,595
v603,565,595
v10000,564,597
v50283,562,598
v14240,562,598
v52,561,600
v19397,560,601
v94,559,602
v22948,559,602
v13107,558,604
v768,558,604
v17210,558,604
v18643,558,604
v132,556,608
v16006,555,609
v32021,555,609
v1307,555,609
v3030,554,612
v16610,553,613
v20980,552,614
v7052,551,615
v1030,550,616
v1141,549,617
v12246,549,617
v473,549,617
v9708,547,620
v8731,547,620
v2099,546,622
v30235,546,622
v7499,544,624
v19658,543,625
v5286,543,625
v6359,541,627
v3973,541,627
v30812,539,629
v2596,538,630
v6682,537,631
v31448,537,631
v32555,537,631
v23407,536,634
v13839,535,635
v16070,534,636
v10119,532,637
v18809,530,638
v64,528,639
v18550,528,639
v106,527,641
v20144,526,642
v22282,524,643
v10899,524,643
v28264,523,645
v11620,522,646
v23448,521,647
v11999,521,647
v1899,520,649
v32946,520,649
v29779,519,651
v135,518,652
v1483,518,652
v28345,517,654
v899,517,654
v1296,517,654
v18907,516,657
v25007,516,657
v22791,515,659
v17046,515,659
v718,513,661
v2736,510,662
v21465,510,662
v16190,510,662
v34848,509,665
v18806,508,666
v22181,508,666
v4852,508,666
v19964,508,666
v3066,508,666
v43470,506,671
v20232,504,672
v16800,504,672
v27057,504,672
v27746,504,672
v20378,503,676
v24240,499,677
v26344,498,678
v129,495,679
v29909,495,679
v808,495,679
v19587,495,679
v54,494,683
v12702,493,684
v18279,493,684
v22105,492,686
v23501,491,687
v22106,490,688
v10557,490,688
v14520,488,690
v17335,488,690
v9887,487,692
v20860,486,693
v19989,486,693
v16700,486,693
v11096,485,696
v1525,485,696
v23634,484,698
v111,484,698
v900,483,700
v206,481,701
v45634,481,701
v28731,480,703
v145,480,703
