"vn_id","developers"
v10215,"[""p461""]"
v10216,"[""p254""]"
v10217,"[""p2739""]"
v10218,"[""p303""]"
v10219,"[""p3022""]"
v1022,"[""p334""]"
v10220,"[""p171""]"
v10221,"[""p342""]"
v10222,"[""p1975""]"
v10223,"[""p2740""]"
v10224,"[""p2107""]"
v10225,"[""p918""]"
v10226,"[""p531""]"
v10227,"[""p230""]"
v10228,"[""p1601""]"
v10229,"[""p2741""]"
v1023,"[""p135""]"
v10230,"[""p6450""]"
v10231,"[""p146"", ""p931""]"
v10232,"[""p504""]"
v10233,"[""p1698""]"
v10234,"[""p651""]"
v10235,"[""p2742""]"
v10236,"[""p2743""]"
v10237,"[""p129""]"
v10238,"[""p336""]"
v10239,"[""p2744"", ""p305""]"
v1024,"[""p477""]"
v10240,"[""p144""]"
v10241,"[""p1542""]"
v10242,"[""p2745""]"
v10243,"[""p4236""]"
v10244,"[""p273""]"
v10245,"[""p2746""]"
v10246,"[""p2746""]"
v10247,"[""p2746""]"
v10248,"[""p2747""]"
v10249,"[""p1412""]"
v1025,"[""p27""]"
v10251,"[""p2748""]"
v10252,"[""p2748""]"
v10253,"[""p2040""]"
v10254,"[""p2040""]"
v10255,"[""p388""]"
v10256,"[""p1704""]"
v10257,"[""p269""]"
v10258,"[""p724""]"
v10259,"[""p2749""]"
v10260,"[""p674""]"
v10261,"[""p2273""]"
v10262,"[""p5357""]"
v10263,"[""p1515""]"
v10264,"[""p1515""]"
v10265,"[""p1515""]"
v10266,"[""p2064""]"
v10267,"[""p378""]"
v10268,"[""p4294""]"
v10269,"[""p269""]"
v1027,"[""p29""]"
v10270,"[""p2750""]"
v10271,"[""p119"", ""p647""]"
v10272,"[""p763""]"
v10273,"[""p6528"", ""p88""]"
v10274,"[""p796""]"
v10275,"[""p1219""]"
v10276,"[""p1602""]"
v10277,"[""p788""]"
v10278,"[""p2752""]"
v10279,"[""p2184""]"
v10280,"[""p1693""]"
v10281,"[""p1891""]"
v10282,"[""p332""]"
v10283,"[""p189""]"
v10284,"[""p1715""]"
v10285,"[""p709""]"
v10286,"[""p2754""]"
v10287,"[""p9848""]"
v10288,"[""p2015""]"
v10289,"[""p1078""]"
v1029,"[""p289""]"
v10290,"[""p1345""]"
v10291,"[""p2756""]"
v10292,"[""p2079""]"
v10293,"[""p2760""]"
v10294,"[""p2760""]"
v10295,"[""p2761""]"
v10296,"[""p2667""]"
v10297,"[""p103""]"
v10298,"[""p1396""]"
v10299,"[""p2762""]"
v103,"[""p15""]"
v1030,"[""p3400""]"
v10300,"[""p533""]"
v10301,"[""p2763""]"
v10302,"[""p2222""]"
v10303,"[""p2764""]"
v10304,"[""p10""]"
v10305,"[""p1502""]"
v10306,"[""p1143""]"
v10307,"[""p2763""]"
v10308,"[""p1082""]"
v10309,"[""p674""]"
v1031,"[""p317""]"
v10310,"[""p3762""]"
v10311,"[""p1754""]"
v10312,"[""p1997""]"
v10314,"[""p5004""]"
v10315,"[""p796""]"
v10316,"[""p1601""]"
v10317,"[""p9734""]"
v10318,"[""p1978""]"
v10319,"[""p2768""]"
v1032,"[""p479""]"
v10320,"[""p4629""]"
v10321,"[""p2769""]"
v10322,"[""p384""]"
v10323,"[""p5796""]"
v10324,"[""p200""]"
v10325,"[""p2770""]"
v10326,"[""p2771""]"
v10327,"[""p1487""]"
v10328,"[""p531""]"
v10329,"[""p206""]"
v1033,[]
v10330,"[""p1219"", ""p764""]"
v10331,"[""p1026""]"
v10332,"[""p2173""]"
v10333,"[""p53""]"
v10334,"[""p10360""]"
v10335,"[""p8967""]"
v10336,"[""p384""]"
v10337,"[""p1770""]"
v10338,"[""p1889""]"
v10339,"[""p1493""]"
v1034,[]
v10340,"[""p796""]"
v10341,"[""p106""]"
v10342,"[""p673""]"
v10343,"[""p1127""]"
v10344,"[""p2777""]"
v10345,"[""p2776""]"
v10346,"[""p1455"", ""p2708""]"
v10347,"[""p2276""]"
v10349,"[""p1542""]"
v1035,"[""p480""]"
v10350,"[""p1552"", ""p7329""]"
v10351,"[""p481""]"
v10352,"[""p319""]"
v10353,"[""p538""]"
v10354,"[""p650""]"
v10355,"[""p560""]"
v10356,"[""p1953""]"
v10357,"[""p918""]"
v10358,"[""p4421""]"
v10359,"[""p2778""]"
v1036,"[""p481""]"
v10362,"[""p397""]"
v10365,"[""p2779""]"
v10366,"[""p2779""]"
v10367,"[""p2007""]"
v10368,"[""p2780""]"
v10369,"[""p2781""]"
v1037,"[""p106""]"
v10370,"[""p2781""]"
v10371,"[""p2781""]"
v10372,"[""p2781""]"
v10373,"[""p2781""]"
v10374,"[""p2781""]"
v10375,"[""p2781""]"
v10376,"[""p2781""]"
v10377,"[""p2782""]"
v10378,"[""p356""]"
v10379,"[""p536""]"
v1038,"[""p337""]"
v10380,"[""p210""]"
v10381,"[""p964""]"
v10382,"[""p19""]"
v10383,"[""p2361"", ""p589""]"
v10384,"[""p2783""]"
v10386,"[""p341""]"
v10387,"[""p1472""]"
v10388,"[""p89""]"
v10389,"[""p561""]"
v1039,"[""p483""]"
v10390,"[""p150""]"
v10391,"[""p796""]"
v10392,"[""p374""]"
v10393,"[""p830""]"
v10394,"[""p1277""]"
v10395,"[""p4629""]"
v10396,"[""p391""]"
v10397,"[""p2784""]"
v10398,"[""p339""]"
v10399,"[""p1895""]"
v104,"[""p64""]"
v1040,"[""p229""]"
v10400,"[""p1895""]"
v10401,"[""p1895""]"
v10402,"[""p1895""]"
v10403,"[""p1895""]"
v10404,"[""p1895""]"
v10405,"[""p1895""]"
v10406,"[""p6451""]"
v10407,"[""p2786""]"
v10408,"[""p2787""]"
v10409,"[""p2787""]"
v1041,"[""p365""]"
v10410,"[""p1592""]"
v10411,"[""p2164""]"
v10412,"[""p1592""]"
v10413,"[""p2788""]"
v10414,"[""p1592""]"
v10415,"[""p81""]"
v10416,"[""p2114""]"
v10417,"[""p1883""]"
v10418,"[""p2361"", ""p589""]"
v10419,"[""p2361"", ""p589""]"
v1042,"[""p286""]"
v10420,"[""p1784""]"
v10421,"[""p1784""]"
v10422,"[""p2365""]"
v10423,"[""p2365""]"
v10424,"[""p2365""]"
v10425,"[""p2365""]"
v10426,"[""p2365""]"
v10427,"[""p2789""]"
v10428,"[""p2365""]"
v10429,"[""p1247""]"
v1043,"[""p485""]"
v10430,"[""p1247""]"
v10431,"[""p1247""]"
v10432,"[""p1247""]"
v10433,"[""p1247""]"
v10434,"[""p1247""]"
v10435,"[""p1247""]"
v10436,"[""p1044""]"
v10437,"[""p9734""]"
v10438,"[""p879""]"
v10439,"[""p879""]"
v1044,"[""p485""]"
v10440,"[""p2790""]"
v10441,"[""p1753""]"
v10442,"[""p1396""]"
v10443,"[""p2240""]"
v10444,"[""p2240""]"
v10445,"[""p1953""]"
v10446,"[""p2792""]"
v10447,"[""p2793""]"
v10448,"[""p2793""]"
v10449,"[""p2458""]"
v1045,"[""p485""]"
v10450,"[""p2458""]"
v10451,"[""p2458""]"
v10452,"[""p2458""]"
v10453,"[""p2458""]"
v10454,"[""p2458""]"
v10455,"[""p949""]"
v10456,"[""p2701""]"
v10457,"[""p2596""]"
v1046,"[""p302""]"
v10461,"[""p182""]"
v10462,"[""p980""]"
v10463,"[""p96""]"
v10464,"[""p2795""]"
v10465,"[""p211""]"
v10466,"[""p2796""]"
v10467,"[""p2796""]"
v10468,"[""p2796""]"
v10469,"[""p2797""]"
v1047,"[""p285""]"
v10470,"[""p2096""]"
v10471,"[""p684""]"
v10472,"[""p949""]"
v10473,"[""p403""]"
v10474,"[""p182""]"
v10475,"[""p776""]"
v10477,"[""p1007""]"
v10478,"[""p662""]"
v10479,"[""p2676""]"
v1048,"[""p31""]"
v10480,"[""p529""]"
v10481,"[""p500""]"
v10482,"[""p2799""]"
v10483,"[""p2799""]"
v10484,"[""p2799""]"
v10485,[]
v10486,"[""p2800""]"
v10487,"[""p2800""]"
v10488,"[""p2800""]"
v10489,"[""p2440""]"
v1049,"[""p488""]"
v10490,"[""p2801""]"
v10491,"[""p1865""]"
v10492,"[""p2802""]"
v10493,"[""p2802""]"
v10494,"[""p2802""]"
v10495,"[""p2802""]"
v10496,"[""p2802""]"
v10497,"[""p2802""]"
v10498,"[""p185""]"
v10499,"[""p5358""]"
v105,"[""p16""]"
v1050,"[""p17""]"
v10501,"[""p1477""]"
v10502,"[""p2803""]"
v10503,"[""p1261"", ""p2491""]"
v10504,"[""p2803""]"
v10505,"[""p2491""]"
v10506,"[""p2804""]"
v10507,"[""p2804""]"
v10508,"[""p2805""]"
v1051,"[""p2259""]"
v10510,"[""p2806""]"
v10511,"[""p2630""]"
v10512,"[""p2808"", ""p2809""]"
v10513,"[""p2810""]"
v10514,"[""p2811""]"
v10515,"[""p290""]"
v10516,"[""p1196""]"
v10518,"[""p1894""]"
v10519,"[""p2812""]"
v1052,"[""p232""]"
v10520,"[""p1872""]"
v10521,"[""p1872""]"
v10522,"[""p2629""]"
v10523,"[""p2813""]"
v10524,"[""p2814""]"
v10525,[]
v10526,"[""p42""]"
v10527,"[""p2815""]"
v10528,"[""p2047""]"
v10529,"[""p595""]"
v1053,"[""p336""]"
v10530,"[""p2107""]"
v10531,"[""p1604""]"
v10532,"[""p2342""]"
v10533,"[""p2816""]"
v10534,"[""p2077""]"
v10535,"[""p2817""]"
v10536,"[""p2818""]"
v10537,"[""p583""]"
v10538,"[""p2232""]"
v10539,"[""p2478""]"
v1054,"[""p591""]"
v10540,"[""p2988""]"
v10541,"[""p5358""]"
v10542,"[""p2820""]"
v10543,"[""p2821""]"
v10544,"[""p674""]"
v10545,"[""p2822""]"
v10546,"[""p497""]"
v10547,"[""p1618""]"
v10548,"[""p2235""]"
v10549,"[""p1975""]"
v1055,"[""p489""]"
v10550,"[""p149""]"
v10551,"[""p2873""]"
v10552,"[""p2825""]"
v10553,"[""p1684""]"
v10554,"[""p2887""]"
v10555,"[""p2825""]"
v10556,"[""p397""]"
v10557,"[""p259""]"
v10558,"[""p777""]"
v10559,"[""p2826""]"
v1056,"[""p489""]"
v10560,"[""p331""]"
v10561,"[""p331""]"
v10562,"[""p2827""]"
v10565,"[""p159""]"
v10566,"[""p2830""]"
v10567,"[""p491""]"
v10568,"[""p2212""]"
v10569,"[""p2212""]"
v1057,"[""p212""]"
v10570,"[""p2205""]"
v10572,"[""p1690"", ""p3866""]"
v10573,"[""p1164""]"
v10574,"[""p10173"", ""p3076"", ""p3077""]"
v10575,"[""p2834""]"
v10576,"[""p2836""]"
v10577,"[""p25862""]"
v10578,"[""p2034""]"
v10579,"[""p2034""]"
v1058,"[""p479""]"
v10580,"[""p2034""]"
v10581,"[""p2720""]"
v10582,"[""p1554""]"
v10583,"[""p700""]"
v10584,[]
v10585,"[""p229""]"
v10586,"[""p1824""]"
v10587,"[""p648""]"
v10588,"[""p648""]"
v10589,"[""p2838""]"
v1059,"[""p3234""]"
v10590,"[""p2838""]"
v10591,"[""p2838""]"
v10592,"[""p2838""]"
v10593,"[""p2839""]"
v10594,"[""p2840""]"
v10595,"[""p2840""]"
v10596,"[""p6565""]"
v10597,"[""p27""]"
v10598,"[""p828""]"
v10599,"[""p1202""]"
v106,"[""p17"", ""p5936""]"
v1060,"[""p365""]"
v10600,"[""p341""]"
v10601,"[""p1856""]"
v10602,"[""p1543""]"
v10603,"[""p3024""]"
v10604,"[""p680""]"
v10605,"[""p2841""]"
v10606,"[""p1588""]"
v10607,"[""p2844"", ""p5305""]"
v10608,"[""p274""]"
v10609,"[""p81""]"
v1061,"[""p200""]"
v10610,"[""p918""]"
v10611,"[""p215""]"
v10612,"[""p659""]"
v10613,"[""p1145""]"
v10614,"[""p96""]"
v10615,"[""p1413""]"
v10616,"[""p2846""]"
v10617,"[""p285""]"
v10618,"[""p2847""]"
v10619,"[""p1374""]"
v1062,"[""p384""]"
v10620,"[""p603""]"
v10621,"[""p2799""]"
v10622,"[""p644""]"
v10623,"[""p591""]"
v10624,"[""p2849""]"
v10625,"[""p2849""]"
v10626,"[""p2342"", ""p397""]"
v10627,"[""p314""]"
v10628,"[""p2107""]"
v1063,"[""p218""]"
v10631,"[""p589""]"
v10632,"[""p2857""]"
v10633,"[""p717""]"
v10634,"[""p1955""]"
v10635,"[""p467""]"
v10636,"[""p765""]"
v10637,"[""p2706""]"
v10639,"[""p1387""]"
v1064,"[""p85"", ""p859""]"
v10640,"[""p2863""]"
v10641,"[""p119""]"
v10642,"[""p232""]"
v10643,"[""p2593""]"
v10644,"[""p2864""]"
v10645,"[""p210""]"
v10646,"[""p210""]"
v10647,"[""p210""]"
v10648,"[""p1700""]"
v10649,"[""p96""]"
v1065,"[""p987""]"
v10650,"[""p96""]"
v10651,"[""p119""]"
v10652,"[""p119""]"
v10653,"[""p2676""]"
v10654,"[""p2676""]"
v10655,"[""p1636""]"
v10656,"[""p2865""]"
v10657,"[""p2865""]"
v10658,"[""p2928""]"
v10659,"[""p490""]"
v1066,"[""p490""]"
v10660,"[""p696""]"
v10661,"[""p2866""]"
v10662,"[""p2867""]"
v10663,"[""p2868""]"
v10664,"[""p2868""]"
v10665,"[""p2869""]"
v10666,"[""p2870""]"
v10667,"[""p2871""]"
v10668,"[""p2872""]"
v10669,"[""p1571""]"
v1067,"[""p212""]"
v10670,"[""p533""]"
v10671,"[""p2868""]"
v10672,"[""p2868""]"
v10673,"[""p2868""]"
v10674,"[""p2342"", ""p397""]"
v10675,"[""p2667""]"
v10676,"[""p1372""]"
v10677,[]
v10678,"[""p404""]"
v1068,"[""p96""]"
v10680,"[""p13""]"
v10682,"[""p2876""]"
v10683,"[""p2876""]"
v10684,"[""p2876""]"
v10685,[]
v10687,"[""p2777""]"
v10688,"[""p2777""]"
v10689,"[""p2777""]"
v1069,"[""p242""]"
v10690,"[""p2777""]"
v10691,"[""p2777""]"
v10694,"[""p2892""]"
v10695,"[""p2783""]"
v10696,"[""p2872""]"
v10697,"[""p2872""]"
v10698,"[""p2872""]"
v10699,"[""p16626""]"
v1070,"[""p4""]"
v10700,"[""p2879""]"
v10701,"[""p2881""]"
v10702,"[""p2881""]"
v10703,"[""p2881""]"
v10704,"[""p1091""]"
v10705,"[""p1091""]"
v10706,"[""p1955""]"
v10707,"[""p1955""]"
v10708,"[""p1955""]"
v10709,"[""p1955"", ""p430""]"
v1071,"[""p491""]"
v10710,"[""p2882""]"
v10711,"[""p918""]"
v10712,"[""p2883""]"
v10713,"[""p1915""]"
v10714,"[""p1915""]"
v10715,"[""p1915""]"
v10716,"[""p504""]"
v10718,"[""p2884""]"
v10719,"[""p2885""]"
v1072,"[""p144""]"
v10720,"[""p2886""]"
v10721,"[""p2887""]"
v10722,"[""p2375""]"
v10723,"[""p504""]"
v10724,"[""p2888""]"
v10725,"[""p2889""]"
v10726,"[""p1873""]"
v10727,"[""p2890""]"
v10728,"[""p2890""]"
v10729,"[""p2891""]"
v1073,"[""p288""]"
v10730,"[""p2892""]"
v10731,"[""p2890""]"
v10732,"[""p120""]"
v10733,"[""p805""]"
v10734,"[""p2102""]"
v10735,"[""p2102""]"
v10736,"[""p1266""]"
v10737,"[""p726""]"
v10738,"[""p726""]"
v10739,"[""p887""]"
v1074,"[""p242""]"
v10740,"[""p2893""]"
v10741,"[""p2893""]"
v10742,"[""p2893""]"
v10743,"[""p5364""]"
v10744,"[""p5364""]"
v10745,"[""p2894""]"
v10746,"[""p857""]"
v10747,"[""p2895""]"
v10748,"[""p2896""]"
v10749,"[""p1593""]"
v1075,"[""p285""]"
v10750,"[""p1593""]"
v10751,"[""p1593"", ""p187""]"
v10752,"[""p1593""]"
v10753,"[""p3643""]"
v10754,"[""p2897""]"
v10755,"[""p2868""]"
v10756,"[""p2868""]"
v10757,"[""p1838""]"
v10758,"[""p1838""]"
v10759,"[""p2899""]"
v1076,"[""p109""]"
v10760,"[""p958""]"
v10761,"[""p958""]"
v10762,"[""p958""]"
v10763,"[""p817""]"
v10764,"[""p2529""]"
v10765,"[""p96""]"
v10766,"[""p1589""]"
v10767,"[""p2901""]"
v10768,"[""p2901""]"
v10769,"[""p1589""]"
v1077,"[""p109""]"
v10770,"[""p2901""]"
v10771,"[""p2901""]"
v10772,"[""p2901""]"
v10773,"[""p2902""]"
v10774,"[""p9849""]"
v10775,"[""p332""]"
v10776,"[""p2903""]"
v10777,"[""p2904""]"
v10778,"[""p2905""]"
v10779,"[""p1824""]"
v1078,"[""p491""]"
v10780,"[""p716""]"
v10781,"[""p2342"", ""p397""]"
v10782,"[""p2078""]"
v10783,"[""p2034""]"
v10784,"[""p2034""]"
v10785,"[""p2034""]"
v10786,"[""p1670""]"
v10787,"[""p2988""]"
v10788,"[""p878""]"
v10789,"[""p2980""]"
v1079,"[""p434""]"
v10790,"[""p20522""]"
v10792,"[""p3130""]"
v10793,"[""p735""]"
v10794,"[""p718""]"
v10795,"[""p34""]"
v10796,"[""p2708"", ""p359""]"
v10797,"[""p29""]"
v10798,"[""p220""]"
v10799,"[""p2034""]"
v108,"[""p38""]"
v1080,"[""p120""]"
v10800,"[""p550""]"
v10801,"[""p2907""]"
v10802,"[""p603""]"
v10803,"[""p1385""]"
v10804,"[""p240""]"
v10805,"[""p273""]"
v10806,"[""p2401""]"
v10807,"[""p398""]"
v10808,"[""p3489""]"
v10809,"[""p465""]"
v1081,"[""p492""]"
v10810,"[""p314""]"
v10811,"[""p839""]"
v10812,"[""p175"", ""p212""]"
v10813,"[""p2909""]"
